decay_x_mean,decay_h_mean,input_x_mean,mean_x,decay_x_max,decay_h_max,input_x_max,decay_x_min,decay_h_min,input_x_min,decay_x_mean_deviation,decay_h_mean_deviation,input_x_mean_deviation,number_of_zero_values
1.0,1.0,0.6721992732812501,0.62964153,1.0,1.0,0.82444435,1.0,1.0,0.0,0.37035847,0.37035847,0.04255774328125006,9
1.0,1.0,0.63940728875,0.65850836,1.0,1.0,0.8753023,1.0,1.0,0.0,0.34149164,0.34149164,0.019101071250000046,14
0.9691242162499998,1.0,0.6061002603125,0.6491544,0.97089386,1.0,0.86810637,0.96896344,1.0,0.0,0.31996981624999976,0.3508456,0.04305413968750005,16
0.9595228264062499,0.9895094928125,0.63543958828125,0.6378767,0.9598859,1.0,0.854786,0.95491284,0.9264099,0.0,0.3216461264062499,0.35163279281250004,0.0024371117187499403,13
1.0,0.9990901975,0.6213059848437499,0.65175056,1.0,1.0,0.86528784,1.0,0.97360903,0.0,0.34824944,0.3473396375000001,0.030444575156250098,14
1.0,0.994736168125,0.64016443734375,0.6251589,1.0,1.0,0.8472356,1.0,0.9450147,0.0,0.37484110000000004,0.369577268125,0.015005537343749986,12
0.9538481959374999,1.0,0.5616365853125,0.608893,0.95419186,1.0,0.8411362,0.9477326,1.0,0.0,0.3449551959374999,0.391107,0.04725641468749997,17
1.0,0.86584195046875,0.63706584421875,0.6122745,1.0,0.9539431,0.9341364,1.0,0.79052573,0.0,0.38772549999999995,0.25356745046874996,0.024791344218749956,13
0.9843179609374999,0.9410930396875,0.6553109328125,0.6470534,0.99560404,1.0,0.8480667,0.98343253,0.86524653,0.0,0.3372645609374999,0.2940396396875,0.008257532812499968,12
0.9592145506249999,0.984406679375,0.69571129484375,0.64042884,0.9594568,1.0,0.87506837,0.95763326,0.9086736,0.0,0.31878571062499994,0.34397783937500004,0.05528245484375005,9
0.9789522728125,1.0,0.64385581515625,0.62795776,0.97949356,1.0,0.8765501,0.9756473,1.0,0.0,0.35099451281249994,0.37204223999999997,0.01589805515624998,13
1.0,1.0,0.72381421671875,0.7011041,1.0,1.0,0.944724,1.0,1.0,0.0,0.2988959,0.2988959,0.022710116718750006,11
0.98193760953125,0.9786963399999999,0.56562727078125,0.59896183,0.99636763,1.0,0.8634715,0.9799818,0.90133214,0.0,0.38297577953124995,0.3797345099999999,0.03333455921875006,16
1.0,0.9996671703125,0.6459277992187501,0.677488,1.0,1.0,0.87640613,1.0,0.9882636,0.0,0.322512,0.3221791703125,0.03156020078124988,14
0.964088625,0.8929484071875,0.5635839593749999,0.6364597,0.9671568,1.0,0.8568951,0.9638288,0.80521727,0.0,0.32762892500000007,0.25648870718750005,0.07287574062500002,19
1.0,0.98400250046875,0.6597871839062499,0.64646494,1.0,1.0,0.88684994,1.0,0.9368314,0.0,0.35353506,0.33753756046875005,0.01332224390624992,11
1.0,0.99558582875,0.68058311203125,0.6558122,1.0,1.0,0.8884637,1.0,0.8915824,0.0,0.34418780000000004,0.33977362875000006,0.024770912031250036,12
0.9498966821875,1.0,0.6034035159375001,0.6386621,0.9504535,1.0,0.88635445,0.9457063,1.0,0.0,0.3112345821875,0.3613379,0.03525858406249993,17
1.0,0.99236389921875,0.65962569796875,0.64244413,1.0,1.0,0.8480389,1.0,0.9385768,0.0,0.35755587,0.34991976921875,0.017181567968750033,12
0.9495457271875001,0.9996756953125,0.55692858875,0.58997,0.9519661,1.0,0.88777703,0.9348352,0.9859052,0.0,0.3595757271875001,0.4097056953125,0.03304141125000004,18
1.0,0.9998768640625,0.6290803715625,0.6611594,1.0,1.0,0.8867309,1.0,0.9921193,0.0,0.33884060000000005,0.33871746406250003,0.03207902843749999,15
0.96845373171875,0.9999929303125,0.69508316078125,0.6501188,0.96871006,1.0,0.8783948,0.9664742,0.99954754,0.0,0.31833493171875005,0.34987413031250003,0.04496436078124999,9
0.9428777559374999,1.0,0.6572880565625,0.6401073,0.94434506,1.0,0.8748412,0.9256632,1.0,0.0,0.30277045593749985,0.35989269999999995,0.017180756562499955,12
1.0,0.88276369265625,0.5960971584374999,0.6130958,1.0,0.98492974,0.8500048,1.0,0.7970496,0.0,0.38690420000000003,0.26966789265625,0.016998641562500083,15
1.0,0.9996672142187499,0.7025510209375,0.6418652,1.0,1.0,0.86384654,1.0,0.97938156,0.0,0.3581348,0.3578020142187499,0.06068582093749997,8
1.0,1.0,0.5790178415625,0.5955866,1.0,1.0,0.8552791,1.0,1.0,0.0,0.40441340000000003,0.40441340000000003,0.016568758437499942,16
0.9900555687500001,1.0,0.649653844375,0.63423675,0.9948675,1.0,0.9142176,0.9895123,1.0,0.0,0.3558188187500001,0.36576325,0.01541709437499994,12
1.0,0.9878680540625,0.64584866734375,0.6890835,1.0,1.0,0.9102007,1.0,0.92146957,0.0,0.31091650000000004,0.29878455406250004,0.043234832656249944,16
0.971415444375,0.99773212921875,0.605165989375,0.5989734,0.9729423,1.0,0.8564917,0.9583325,0.9422661,0.0,0.37244204437500006,0.39875872921875,0.006192589375000002,14
0.9812560365625,1.0,0.5763684903125,0.5908034,0.9818653,1.0,0.8908545,0.9744504,1.0,0.0,0.39045263656250007,0.4091966,0.014434909687499942,16
1.0,0.9985614631249999,0.63595179953125,0.6274099,1.0,1.0,0.8605358,1.0,0.98100144,0.0,0.37259010000000004,0.371151563125,0.008541899531250063,12
1.0,1.0,0.6179407360937499,0.6296737,1.0,1.0,0.8725801,1.0,1.0,0.0,0.3703263,0.3703263,0.011732963906250116,14
0.9750735020312499,0.97604962625,0.7200557590625,0.6463629,0.9762599,1.0,0.92322767,0.96638083,0.9058135,0.0,0.3287106020312499,0.32968672625000006,0.0736928590625,8
1.0,0.7733154546875,0.60469760734375,0.5593506,1.0,0.8358121,0.8163632,1.0,0.7089278,0.0,0.44064939999999997,0.21396485468749993,0.04534700734374997,11
1.0,0.9991441915625,0.6398236409375,0.6001869,1.0,1.0,0.867354,1.0,0.97596216,0.0,0.39981310000000003,0.39895729156250004,0.039636740937500026,10
0.9987492401562501,0.9847778768750001,0.6184931871875,0.6019731,0.9995349,1.0,0.9095578,0.99068165,0.89913744,0.0,0.39677614015625007,0.38280477687500003,0.016520087187499977,15
0.97380776125,1.0,0.7202675417187501,0.6420462,0.9743719,1.0,0.8937817,0.97372717,1.0,0.0,0.33176156125,0.3579538,0.07822134171875006,7
0.996770058125,0.99931310671875,0.6520123475,0.6278363,0.99722195,1.0,0.88241696,0.99144447,0.95603883,0.0,0.36893375812499996,0.37147680671874994,0.02417604750000002,11
0.9817757262500001,0.8950925635937501,0.612255146875,0.5883491,0.99314606,0.96546286,0.8367679,0.98049426,0.80691445,0.0,0.39342662625000013,0.30674346359375015,0.023906046875000087,13
1.0,0.983046626875,0.63220615421875,0.6139429,1.0,1.0,0.8832458,1.0,0.91666436,0.0,0.38605710000000004,0.36910372687500004,0.01826325421875008,14
1.0,0.9912328409375,0.58850425734375,0.5757571,1.0,1.0,0.8375823,1.0,0.94283503,0.0,0.4242429,0.41547574093749995,0.012747157343749982,14
1.0,0.86375898421875,0.67704045640625,0.6073396,1.0,0.94321305,0.8546428,1.0,0.79620147,0.0,0.3926604,0.25641938421875,0.06970085640625001,7
0.9663396171875,0.9889264156249999,0.6024932812499999,0.59515184,0.9769987,1.0,0.8431587,0.964711,0.886296,0.0,0.37118777718750007,0.39377457562499996,0.007341441249999914,13
1.0,0.90721587828125,0.6296243490625,0.6211912,1.0,0.99381185,0.8709783,1.0,0.8445561,0.0,0.37880879999999995,0.28602467828125,0.008433149062499923,13
0.9851040453125,0.93693959859375,0.6317971340624999,0.6173112,0.9855848,1.0,0.8569319,0.9850097,0.8644619,0.0,0.3677928453125,0.31962839859375003,0.014485934062499983,12
0.9870171093749999,0.9964093078125,0.62165118746875,0.6129878,0.9882721,1.0,0.8635979,0.9768217,0.94949377,0.0,0.3740293093749999,0.38342150781250006,0.008663387468750061,13
0.9804001384375001,0.957002205,0.6337161046875,0.63035756,0.9917822,1.0,0.85117996,0.9788926,0.8615315,0.0,0.3500425784375001,0.326644645,0.0033585446874999647,12
1.0,0.90092291,0.67284816359375,0.5971179,1.0,1.0,0.8055943,1.0,0.7926695,0.0,0.4028821,0.30380501000000004,0.07573026359375001,7
0.971709774375,0.99344762453125,0.56111065625,0.6121175,0.97809196,1.0,0.81320786,0.971285,0.945217,0.0,0.35959227437499997,0.38133012453125004,0.051006843749999975,17
0.9604734060937499,0.99461033,0.7559888870312499,0.67199916,0.961422,1.0,0.9074238,0.95636773,0.9162133,0.0,0.28847424609374983,0.32261116999999995,0.08398972703124985,5
0.96743835,1.0,0.6095440198437501,0.60927665,0.9683725,1.0,0.8544618,0.9598452,1.0,0.0,0.3581617,0.39072335,0.0002673698437500871,14
0.9999295771875,1.0,0.6490777368749999,0.6174745,1.0,1.0,0.7961313,0.99549294,1.0,0.0,0.38245507718749994,0.38252549999999996,0.031603236874999885,9
